index,Address,latitude,longitude,machine,capacity,demand_mu
0,전남 화순군 사평면 사호로 34-18,35.01668803,127.0742785,0,0.0,0.0
1,전라남도 여수시 선소로 93 전기차충전소 뒷편,34.7610282,127.6678744,2,192.4,37.22490754
2,전라남도 광양시 성황동 1861,34.9374162,127.6793937,1,132.8,34.84061763
3,전라남도 광양시 광양읍 읍내리 252-1,34.976458,127.5852535,2,358.0,86.71464106
4,전라남도 광양시 광양읍 인덕로 1100,34.9807918,127.5822458,1,96.2,21.67866026
5,전라남도 광양시 광양읍 남등길 6 광양읍사무소,34.9734096,127.58105,2,192.4,43.35732053
6,전라남도 광양시 광영동 1087,34.9628515,127.7251479,1,160.0,14.8386797
7,전라남도 곡성군 곡성읍 학정리 526-2,35.2861086,127.2885331,1,160.0,10.42503812
8,전라남도 목포시 자유로20번길 27,34.7909583,126.39205,2,320.0,20.56223004
9,전라남도 광양시 정수2길 47 광영동사무소,34.9629217,127.7220062,1,96.2,8.601337932
10,전라남도 나주시 그린로 93,35.0143833,126.779112,1,96.2,48.38464174
11,전라남도 광양시 중동 674-4,34.9513867,127.692538,2,292.8,276.6211559
12,전라남도 목포시 용해동 1006,34.8171651,126.3970753,2,320.0,69.3208717
13,전라남도 순천시 환선로 133,34.9676712,127.4867548,2,265.6,116.3417404
14,전남 여수시 미평동 635-2,34.7678666,127.7027545,2,192.4,13.16195737
15,전라남도 여수시 미평11길 6,34.7694184,127.7049647,2,265.6,26.32391474
16,전라남도 광양시 폭포사랑길 99,34.9403013,127.73225,1,96.2,27.09530265
17,전라남도 목포시 옥암동 1022,34.8042155,126.4345523,2,320.0,86.54992628
18,전라남도 강진군 강진읍 동성리 300-1,34.6443175,126.7719252,1,160.0,27.06171359
19,전라남도 여수시 서교1길 28 서강동주민자치센터,34.741151,127.725888,2,192.4,7.658261802
20,전남 여수시 선원동 1240-1,34.7737838,127.6510494,2,192.4,47.54796395
21,전라남도 곡성군 옥과면 죽림2길 45,35.2755645,127.1409901,1,160.0,4.242602546
22,전라남도 여수시 소호동 505-2,34.738284,127.650394,1,96.2,15.34022141
23,전라남도 여수시 어항단지로 147,34.7285312,127.7233578,2,192.4,10.93242867
24,전라남도 순천시 국가정원1호길 152-55,34.9296985,127.5095455,2,192.4,11.93112211
25,전라남도 순천시 백연길 111,34.952535,127.5329483,2,265.6,191.1832948
26,전라남도 순천시 팔마1길 9-19,34.9324912,127.5126323,2,192.4,50.90192957
